Model,num_estim_params,best_fit,AIC,AICc,BIC,CIC1,CIC2,CIC3,original5_MSC_mean_rank,original5_MSC_median_rank,allRuns_MSC_mean_rank,allRuns_MSC_median_rank,trace
NegCtrl,43,3.88089,-5990.94,-6075.12,-5771.62,-3404.21,2721.06,-138.16,5.0,5.5,9.5,10.0,no trace calculation necessary
MV5,52,0.96776,-7472.88,-7573.3,-7208.69,-3562.07,3021.12,-143.0,3.5,3.5,6.33,6.0,"[(1, 'ADP_Decay_v1', 'ADP_Decay.Active.Variant1'), (2, 'PPK3_A', 'ATPP_Variant'), (3, 'PPA', 'PP_Act'), (4, 'UDK_ATP', 'UTP_Inhib'), (5, 'UDK_ATP', 'ADP_Inhib')]"
rep1_MV6,53,0.98682,-7449.83,-7552.03,-7180.65,-3476.6,3242.17,-139.96,4.5,4.5,7.67,8.0,"[(1, 'ADP_Decay_v1', 'ADP_Decay.Active.Variant1'), (2, 'PPK3_A', 'ATPP_Variant'), (3, 'UMPK_ATP', 'ADP_Inhib'), (4, 'PPA', 'PP_Act'), (5, 'PPA', 'ATP_Act'), (6, 'NAHK_ATP', 'ADP_Inhib')]"
rep2_MV5,52,0.95124,-7491.48,-7591.9,-7227.29,-3570.81,3002.52,-143.35,2.5,2.5,5.33,5.0,"[(1, 'ADP_Decay_v2', 'ADP_Decay.Active.Variant2'), (2, 'PPK3_A', 'ATPP_Variant'), (3, 'UDK_ATP', 'UTP_Inhib'), (4, 'PPA', 'ATP_Act'), (5, 'GLMU', 'ADP_Inhib')]"
rep3_MV4,58,0.79334,-7675.51,-7786.57,-7381.42,-3195.34,4006.49,-132.09,3.0,3.0,5.0,5.5,"[(1, 'UMPK_ATP', 'ADP_and_ATPP_Variant'), (2, 'UDK_ATP', 'UTP_Inhib'), (3, 'PPA', 'ATP_Act'), (4, 'PPA', 'PP_Act')]"
rep4_MV6,60,0.79935,-7663.36,-7777.93,-7359.29,-3036.29,4414.64,-127.63,4.0,4.0,6.0,6.5,"[(1, 'UMPK_ATP', 'ADP_and_ATPP_Variant'), (2, 'GLMU', 'UDP_GalNAc_Inhib'), (3, 'PPA', 'PP_Act'), (4, 'UDK_ATP', 'UTP_Inhib'), (5, 'UDK_ATP', 'ADP_Inhib'), (6, 'PPA', 'ADP_Inhib')]"
onlyAIC_MV17,98,0.79506,-7593.18,-7770.98,-7099.7,-77.91,12008.82,-78.7,5.5,6.5,10.33,12.5,"[(1, 'UMPK_ATP', 'ADP_and_ATPP_Variant'), (2, 'ADP_Decay_v1', 'ADP_Decay.Active.Variant1'), (3, 'NAHK_ATP', 'ATPP_Variant'), (4, 'UDK_ATP', 'ADP_Variant'), (5, 'UDK_ATP', 'ADP_Inhib'), (6, 'ADP_Decay_v2', 'ADP_Decay.Active.Variant2'), (7, 'PPA', 'ADP_Inhib'), (8, 'PPA', 'ATP_Act'), (9, 'PPA', 'PP_Act'), (10, 'GLMU', 'UDP_GalNAc_Inhib'), (11, 'GLMU', 'ADP_Inhib'), (12, 'UDK_ATP', 'UTP_Inhib'), (13, 'NAHK_ATP', 'ADP_and_ATPP_Variant'), (14, 'PPK3_A', 'ADP_Inhib'), (15, 'PPK3_A', 'ATPP_Variant'), (16, 'NAHK_ATP', 'ADP_Inhib'), (17, 'PPK3_A', 'PP_Inhib')]"
onlyAICc_MV17,93,0.77423,-7631.85,-7801.72,-7163.29,-469.19,10980.15,-83.19,,,8.83,11.5,"[(1, 'UMPK_ATP', 'ADP_and_ATPP_Variant'), (2, 'UDK_ATP', 'ADP_Variant'), (3, 'PPA', 'PP_Act'), (4, 'GLMU', 'ADP_Inhib'), (5, 'PPA', 'ATP_Act'), (6, 'UDK_ATP', 'ADP_and_ATPP_Variant'), (7, 'UDK_ATP', 'UTP_Inhib'), (8, 'NAHK_ATP', 'ADP_Inhib'), (9, 'NAHK_ATP', 'ADP_Variant'), (10, 'PPK3_A', 'PP_Inhib'), (11, 'GLMU', 'UDP_GalNAc_Inhib'), (12, 'PPA', 'ADP_Inhib'), (13, 'NAHK_ATP', 'ADP_and_ATPP_Variant'), (14, 'UMPK_ATP', 'ADP_Inhib'), (15, 'NAHK_ATP', 'ATPP_Variant'), (16, 'PPK3_A', 'ADP_Inhib'), (17, 'UDK_ATP', 'ADP_Inhib')]"
onlyBIC_MV16,77,0.80665,-7619.55,-7763.23,-7230.74,-1710.62,7824.45,-99.69,,,7.67,8.0,"[(1, 'UMPK_ATP', 'ADP_and_ATPP_Variant'), (2, 'PPK3_A', 'ATPP_Variant'), (3, 'PPA', 'ATP_Act'), (4, 'PPA', 'PP_Act'), (5, 'GLMU', 'UDP_GalNAc_Inhib'), (6, 'UDK_ATP', 'ADP_Inhib'), (7, 'UDK_ATP', 'UTP_Inhib'), (8, 'PPA', 'ADP_Inhib'), (9, 'NAHK_ATP', 'ADP_Inhib'), (10, 'GLMU', 'ADP_Inhib'), (11, 'PPK3_A', 'ADP_Inhib'), (12, 'PPK3_A', 'PP_Inhib'), (13, 'UMPK_ATP', 'ADP_Inhib'), (14, 'UMPK_ATP', 'ADP_Variant'), (15, 'NAHK_ATP', 'ADP_and_ATPP_Variant'), (16, 'NAHK_ATP', 'ATPP_Variant')]"
onlyCIC1_MV2,49,0.99881,-7444.78,-7539.82,-7195.54,-3772.39,2455.22,-150.9,,,5.0,4.0,"[(1, 'ADP_Decay_v2', 'ADP_Decay.Active.Variant2'), (2, 'PPK3_A', 'ATPP_Variant')]"
onlyCIC2_MV2,49,1.0139,-7428.59,-7523.63,-7179.35,-3764.29,2471.41,-150.57,,,7.17,6.5,"[(1, 'ADP_Decay_v1', 'ADP_Decay.Active.Variant1'), (2, 'PPK3_A', 'ATPP_Variant')]"
onlyCIC3_MV2,49,1.00294,-7440.32,-7535.36,-7191.08,-3770.16,2459.68,-150.81,,,6.0,5.0,"[(1, 'ADP_Decay_v1', 'ADP_Decay.Active.Variant1'), (2, 'PPK3_A', 'ATPP_Variant')]"
AIC_AICc_BIC_MV11,78,0.73202,-7722.39,-7867.75,-7328.6,-1654.88,7919.61,-99.75,,,6.17,6.5,"[(1, 'UMPK_ATP', 'ADP_and_ATPP_Variant'), (2, 'UDK_ATP', 'ADP_Variant'), (3, 'PPA', 'PP_Act'), (4, 'UDK_ATP', 'UTP_Inhib'), (5, 'NAHK_ATP', 'ADP_Inhib'), (6, 'PPA', 'ATP_Act'), (7, 'GLMU', 'ADP_Inhib'), (8, 'NAHK_ATP', 'ATPP_Variant'), (9, 'PPA', 'ADP_Inhib'), (10, 'GLMU', 'UDP_GalNAc_Inhib'), (11, 'PPK3_A', 'ADP_Inhib')]"
