Model,num_estim_params,best_fit,AIC,AICc,BIC,CIC1,CIC2,CIC3,original5_MSC_mean_rank,original5_MSC_median_rank,allRuns_MSC_mean_rank,allRuns_MSC_median_rank,trace
NegCtrl,43,3.88089,-5990.94,-6075.12,-5771.62,-3404.21,2721.06,-138.16,5.0,5.5,9.5,10.0,no trace calculation necessary
MV5,52,0.96776,-7472.88,-7573.3,-7208.69,-3562.07,3021.12,-143.0,3.5,3.5,6.33,6.0,"['1', '12', '11', '19', '18']"
rep1_MV6,53,0.98682,-7449.83,-7552.03,-7180.65,-3476.6,3242.17,-139.96,4.5,4.5,7.67,8.0,"['1', '12', '23', '11', '10', '8']"
rep2_MV5,52,0.95124,-7491.48,-7591.9,-7227.29,-3570.81,3002.52,-143.35,2.5,2.5,5.33,5.0,"['2', '12', '19', '10', '3']"
rep3_MV4,58,0.79334,-7675.51,-7786.57,-7381.42,-3195.34,4006.49,-132.09,3.0,3.0,5.0,5.5,"['22', '19', '10', '11']"
rep4_MV6,60,0.79935,-7663.36,-7777.93,-7359.29,-3036.29,4414.64,-127.63,4.0,4.0,6.0,6.5,"['22', '4', '11', '19', '18', '9']"
onlyAIC_MV17,98,0.79506,-7593.18,-7770.98,-7099.7,-77.91,12008.82,-78.7,5.5,6.5,10.33,12.5,"['22', '1', '6', '15', '18', '2', '9', '10', '11', '4', '3', '19', '7', '13', '12', '8', '14']"
onlyAICc_MV17,93,0.77423,-7631.85,-7801.72,-7163.29,-469.19,10980.15,-83.19,,,8.83,11.5,"['22', '15', '11', '3', '10', '17', '19', '8', '5', '14', '4', '9', '7', '23', '6', '13', '18']"
onlyBIC_MV16,77,0.80665,-7619.55,-7763.23,-7230.74,-1710.62,7824.45,-99.69,,,7.67,8.0,"['22', '12', '10', '11', '4', '18', '19', '9', '8', '3', '13', '14', '23', '20', '7', '6']"
onlyCIC1_MV2,49,0.99881,-7444.78,-7539.82,-7195.54,-3772.39,2455.22,-150.9,,,5.0,4.0,"['2', '12']"
onlyCIC2_MV2,49,1.0139,-7428.59,-7523.63,-7179.35,-3764.29,2471.41,-150.57,,,7.17,6.5,"['1', '12']"
onlyCIC3_MV2,49,1.00294,-7440.32,-7535.36,-7191.08,-3770.16,2459.68,-150.81,,,6.0,5.0,"['1', '12']"
AIC_AICc_BIC_MV11,78,0.73202,-7722.39,-7867.75,-7328.6,-1654.88,7919.61,-99.75,,,6.17,6.5,"['22', '15', '11', '19', '8', '10', '3', '6', '9', '4', '13']"
