Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	5.26361053933333	0	0	0	0	0.00857	0.007756666666667	0.509636666666667	0	0	5.26361053933333	0.509636666666667	0.007756666666667	5.26361053933333	0.001553358	0.002878526	0.00410627	0.002506077	0.002032934	0.004463289	32
0.5	0.063644648707	1.4821672	0.390032	0.4964377	2.8302077	0.011457	0.3242198	0.0831877	0.07866	0.0032072											
1	0	0.577821866666667	1.4189248	0.548226133333333	2.75502293333333	0.0103424	0.219812266666667	0.103264	0.143936	0.0111808											
2	0	0.152955	2.9714542	0.439626	1.7226286	0.010252	0.0818158	0.1789898	0.1884058	0.0226908											
4	0	0.080606916666667	4.28486558333333	0.174703333333333	0.701495083333333	0.0136935	0.06899025	0.17835975	0.192931583333333	0.035464833333333											
7	0	0.045577	4.78314433333333	0.081671333333333	0.330806	0.012775	0.065697333333333	0.179057666666667	0.189	0.04235											
12	0	0.020036133333333	4.89518533333333	0.071361466666667	0.2767236	0.011455733333333	0.056176666666667	0.179425866666667	0.191773333333333	0.047320133333333											
16	0	0.024858333333333	5.01385666666667	0.069988333333333	0.276093333333333	0.011986666666667	0.057291666666667	0.1847	0.193593333333333	0.048338333333333											
20	0	0.0379505	4.84830675	0.0704655	0.2845325	0.0121975	0.0589645	0.1853845	0.177079	0.04666025											
24	0	0.040492566666667	4.86242003333333	0.0701289	0.294348866666667	0.011323	0.0580756	0.188307966666667	0.178405366666667	0.047458333333333											
