Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	52.80557775	0	0	0	0	0	0	0.5150925	0	0	52.80557775	0.5150925	0	52.80557775	0.001553358	0.002302821	0.004927524	0.002004862	0.00243952	0.004463289	32
0.5	35.93880656655	9.37140075	1.27866075	3.5614755	2.8082295	0.07018725	0.36583425	0.0334515	0.010527	0											
1	21.6599632563	13.44073875	2.7816945	7.20375225	7.93363875	0.06418425	0.37840575	0.019401	0.013833	0.004176											
2	8.69950749525	16.7385075	6.60983895	9.71476935	11.15916945	0.0317031	0.42407985	0.00645645	0.0088803	0.0088803											
4	2.40360726999	17.309694	14.1995745	9.70539375	9.37096575	0.0348435	0.344367	0.0846075	0.001653	0.014529											
7	0.373335620337	12.88619625	22.3822635	8.199438	8.954226	0.0404085	0.40078725	0.010509	0.01053225	0.017763											
12	0.2270387647125	11.2289085	31.13775675	5.6570805	4.520367	0.0630585	0.3839745	0.00419175	0.0046575	0.02411775											
16	0.2365541760783	11.95244655	34.8405897	3.97934115	1.75197435	0.0697575	0.26162955	0.119865	0	0.02874795											
20	0.2848141558521	11.20260015	36.86101515	3.3440994	1.25343765	0.08189955	0.26024205	0.10503585	0	0.03282255											
24	0.33967942572675	9.6034515	37.71239025	3.49311525	1.7168145	0.0789525	0.33447075	0.02790525	0.00171825	0.03695325											
