Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	50.5452059	0	0	0	0	0	0	2.585695	0	0	50.5452059	2.585695	0	50.5452059	0.000582	0.002067	0.000519	0.000515	0.000928	0.000502	32
0.5	42.1133018313	1.9658205	4.0967654	0.1003765	2.059652	0.2668099	2.0776126	0.1390158	0.1022567	0											
1	37.38676596788	3.58834952	4.27312004	0.25495932	4.7925556	0.09498552	2.10435008	0.1812692	0.20466544	0.00042476											
2	30.43226652732	5.723522	4.42738912	1.28799328	8.41456952	0.16984632	1.55075284	0.53527712	0.32502008	0.00479864											
4	22.024379699168	6.25317616	7.33195232	3.3467896	11.8286168	0.121968	1.20599052	0.86856	0.37664704	0.01252944											
7	12.839856189384	7.5836124	13.15882848	6.06731328	10.64214144	0.07774536	1.44522196	0.72469824	0.3224004	0.01562904											
12	12.409968982712	6.73026816	21.01180816	4.9822332	5.76191112	0.09266376	1.24706596	0.92322216	0.30098432	0.0217588											
16	11.28335310648	6.22035792	25.11927936	4.57705584	3.46786272	0.10381392	1.27859116	0.91779408	0.2609208	0.02457504											
20	10.279916068772	5.58332306	28.95641644	4.43749978	1.6037455	0.1746556	1.5302105	0.70389396	0.15070846	0.02622648											
24	10.83122271924	6.2441302	31.075814	3.7901556	1.0451672	0.2801106	1.8868738	0.2329404	0.1788094	0.0069608											
