Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	50.5452059	0	0	0	0	0	0	2.585695	0	0	50.5452059	2.585695	0	50.5452059	0.000518	0.002523	0.000791	0.000622	0.000704	0.000511	32
0.5	47.57455766952	1.3674024	0.0356832	0.760284	1.1737152	0.095004	0.6038928	0.4191768	0.060228	0											
1	41.58695673825	3.40627875	0.23443875	1.578885	3.6182475	0.1136625	0.58240875	0.5611725	0.14807625	0											
2	28.7974979474	7.39618628	1.34503572	3.38133992	9.72263264	0.1357286	0.69989808	0.82033728	0.30295524	0											
4	15.795716720476	9.78177494	4.78232356	8.26862064	12.02271056	0.11821838	0.95755212	0.8278452	0.34385554	0											
7	18.18427936311	7.20859482	8.85492804	6.73854258	9.66368004	0.09513294	0.69273792	0.6091785	0.2337363	0											
12	6.3348162747282	9.6998328	18.32335344	8.2539828	7.94566332	0.13318956	1.13134014	0.61591068	0.24444504	0											
16	4.3915956773955	9.26394	23.2707615	7.6904275	5.9768975	0.144844	1.286054	0.471674	0.2156245	0											
20	3.92233811886	9.5292477	26.6379246	7.2607374	3.1947804	0.182196	1.4930433	0.3064824	0.1246455	0.0011529											
24	4.2992349953784	8.98163112	29.1580212	6.30330624	1.73848752	0.21784224	1.556016	0.18099312	0.11428032	0											
