Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	50.5452059	0	0	0	0	0	0	2.585695	0	0	50.5452059	2.585695	0	50.5452059	0.002639	0.007143	0.001501	0.000866	0.002388	0.001749	32
0.5	34.856525160688	5.69228352	3.3049632	0.9065056	5.86409824	0.26847744	1.63868124	0.35397824	0.32178608	0.002772											
1	25.197615688532	9.16667808	3.9754274	2.7148996	9.68173724	0.19909344	1.42695336	0.47355728	0.46786236	0.01822856											
2	14.243655617506	10.3679037	6.70238352	5.87403026	13.3258454	0.14841106	1.33674198	0.58461074	0.4827627	0.03316852											
4	6.4091876184	8.5815828	12.7525608	7.399791	15.7317174	0.1121526	1.0906168	0.942732	0.4009572	0.0392364											
7	2.6320379753976	8.20167096	21.47113752	7.14850416	11.06146776	0.13839168	1.08437812	1.01226552	0.30414888	0.0465108											
12	1.4573036475312	7.81165784	30.55353784	5.16768756	5.55990176	0.21801668	1.22859828	0.88848312	0.20111812	0.0494788											
16	0.99770016513832	7.37597784	34.52856624	4.17794496	3.31750944	0.30811312	1.43647924	0.6321756	0.15684424	0.0520828											
20	0.989539348308	6.69913552	37.182012	3.32275496	2.27268272	0.35041776	1.4068894	0.65683912	0.11837	0.05317872											
24	0.7963054120119	6.67326324	38.81857476	2.87044968	1.6167942	0.4074105	1.40666302	0.6165495	0.09685116	0.05822082											
