Time	[Uri]	[UMP]	[UDP_GalNAc]	[UDP]	[UTP]	[AMP]	[ADP]	[ATP]	[ATPP]	[ATPPP]	[GalNAc]_0	[ATP]_0	[ADP]_0	[Uri]_0	[E_PPA]_0	[E_PPK3]_0	[E_UDK]_0	[E_NAHK]_0	[E_GLMU]_0	[E_UMPK]_0	[PolyP]_0
0	50.5452059	0	0	0	0	0	0	2.585695	0	0	50.5452059	2.585695	0	50.5452059	0.000723	0.007465	0.00184	0.001529	0.001969	0.002311	32
0.5	29.918172670848	9.7180776	4.20431088	1.15455648	5.57133808	0.2443056	1.96651644	0.10592736	0.26386976	0.00507584											
1	18.863914802096	14.00046116	4.9675836	3.43985208	8.50747604	0.233275	1.76662584	0.22944628	0.34029856	0.01604932											
2	8.86847923668	15.2382062	9.40671438	7.57658958	11.86935862	0.12825078	1.68077504	0.38786734	0.36472912	0.02407272											
4	3.72148346745	10.5365358	16.9495956	8.0952102	12.9551184	0.1491966	1.2165286	0.911799	0.2796318	0.028539											
7	1.2329810770368	9.39180648	27.84082392	6.3983808	7.2939048	0.19923792	1.21219756	0.94102344	0.20094312	0.03229296											
12	0.9197680391116	6.88579584	32.73512816	3.5175294	2.95404508	0.28920416	1.50805592	0.63812728	0.11918536	0.03112228											
16	0.5363408003744	6.44165816	37.59173712	2.92852168	1.94505584	0.42624904	1.39716444	0.62789832	0.09851576	0.03586744											
20	0.73777203988712	6.0458608	40.14085768	2.26026584	1.43821944	0.47744872	1.48868972	0.50228248	0.07854448	0.0387296											
24	0.5295170017326	5.64253158	40.8204552	2.1530208	1.08924228	0.47800578	1.46621692	0.53156082	0.06770694	0.04220454											
